"user","time"
"38994","1498504439"
"39004","1498505001"
"39254","1498512127"
"38994","1498512164"
"39147","1498512206"
"39254","1498512385"
"39194","1498512425"
"39195","1498512469"
"38995","1498512478"
"39254","1498512494"
"38995","1498512584"
"38995","1498512644"
"39152","1498512666"
"38995","1498512691"
"38995","1498512746"
"38995","1498512784"
"38995","1498512808"
"39001","1498512930"
"39123","1498513057"
"39181","1498513115"
"38995","1498513392"
"39268","1498513605"
"39197","1498513791"
"39193","1498513922"
"38637","1498516514"
"39202","1498517272"
"39200","1498517532"
"39194","1498519414"
"38769","1498520613"
"38769","1498520626"
"39388","1498521439"
"39409","1498523205"
"39405","1498524792"
"39378","1498526445"
"576","1498531518"
"38574","1498561179"
"38574","1498561198"
"38722","1498564127"
"38722","1498564452"
"39203","1498565731"
"39150","1498565885"
"38999","1498566081"
"39124","1498566466"
"38838","1498570233"
"38973","1498570277"
"38838","1498570465"
"38838","1498571065"
"39318","1498571261"
"534","1498571266"
"534","1498571285"
"534","1498571397"
"534","1498571437"
"39318","1498571441"
"39318","1498571476"
"534","1498571493"
"39318","1498571513"
"39318","1498571590"
"39064","1498571708"
"39064","1498572442"
"39064","1498572467"
"39158","1498573756"
"39158","1498573787"
"39004","1498573869"
"38541","1498575103"
"39146","1498575474"
"39146","1498575759"
"39455","1498575938"
"39318","1498576206"
"39181","1498576665"
"38510","1498576748"
"38510","1498576765"
"976","1498576965"
"39181","1498577287"
"38510","1498577362"
"39181","1498577410"
"39014","1498578462"
"39193","1498578584"
"39014","1498579183"
"39014","1498579200"
"39014","1498579241"
"39018","1498579578"
"38894","1498579671"
"39018","1498579795"
"39198","1498579822"
"39018","1498579868"
"39318","1498579915"
"39318","1498579953"
"38655","1498581326"
"39197","1498581608"
"38882","1498581896"
"39501","1498582376"
"39402","1498582408"
"39501","1498582508"
"39428","1498582674"
"39193","1498582680"
"38655","1498582822"
"39181","1498582830"
"38707","1498583057"
"38655","1498583100"
"39192","1498583587"
"39181","1498583795"
"38655","1498583992"
"39002","1498584432"
"38722","1498584562"
"38575","1498585112"
"38984","1498585253"
"38984","1498585298"
"39318","1498585457"
"39318","1498585524"
"39206","1498585588"
"39198","1498586101"
"39175","1498586834"
"39124","1498586883"
"39124","1498587022"
"39181","1498587090"
"39181","1498587235"
"39181","1498587347"
"39161","1498587354"
"39181","1498587437"
"39467","1498587966"
"39010","1498587968"
"38994","1498588178"
"38994","1498588223"
"38800","1498588585"
"39181","1498588595"
"38800","1498588661"
"971","1498588772"
"39391","1498588881"
"38800","1498589352"
"39181","1498589410"
"39467","1498589604"
"39467","1498589940"
"39467","1498589953"
"39181","1498590137"
"39467","1498590357"
"705","1498590487"
"705","1498590592"
"39467","1498590960"
"39318","1498590989"
"39318","1498591128"
"39318","1498591177"
"39467","1498591179"
"39467","1498591199"
"39467","1498591225"
"39467","1498591246"
"39467","1498591265"
"39467","1498591326"
"39318","1498591337"
"38973","1498591346"
"39467","1498591378"
"39455","1498591392"
"39467","1498591407"
"39181","1498591422"
"39467","1498591430"
"38800","1498591506"
"38698","1498591783"
"39318","1498591874"
"38684","1498592124"
"39181","1498593086"
"38622","1498593249"
"39502","1498593541"
"39502","1498593541"
"39502","1498593541"
"39502","1498593541"
"39502","1498593541"
"39400","1498593705"
"39467","1498593720"
"39196","1498593850"
"39385","1498594132"
"39199","1498595040"
"39404","1498595264"
"38761","1498595983"
"38853","1498596208"
"38973","1498596462"
"39350","1498597467"
"38998","1498597484"
"38931","1498597557"
"39203","1498597584"
"38931","1498597617"
"39426","1498597918"
"39362","1498598306"
"39387","1498598339"
"39405","1498599671"
"39195","1498600426"
"39184","1498601178"
"38931","1498602678"
"38769","1498603388"
"39127","1498604015"
"39127","1498604183"
"39000","1498605672"
"39092","1498606884"
"38988","1498608210"
"38988","1498608222"
"38762","1498608396"
"39401","1498609048"
"39340","1498610561"
"972","1498610810"
"39393","1498624258"
"39260","1498648913"
"38655","1498651614"
"39411","1498652408"
"38964","1498653218"
"39455","1498653325"
"39455","1498653386"
"39416","1498653544"
"39455","1498653651"
"39450","1498653752"
"39450","1498653752"
"39450","1498653752"
"39450","1498653752"
"39450","1498653752"
"39450","1498653752"
"39450","1498653752"
"39450","1498653752"
"39455","1498653877"
"39455","1498653968"
"39447","1498654024"
"39259","1498654152"
"39259","1498654253"
"39455","1498654396"
"39259","1498654472"
"39447","1498654475"
"39447","1498654564"
"39259","1498654621"
"38684","1498654695"
"39447","1498654736"
